BLOCK 1408 1216

BLOCK 0 840
BLOCK 2688 1028
BLOCK 4864 1092

CLOUD 228 100 960 100
CLOUD 1300 130 440 130
CLOUD 860 90 2460 90
CLOUD 2800 120 1000 120
CLOUD 4800 105 2300 105
CLOUD 2800 115 3300 115
CLOUD 5100 100 2300 100



PLATFORM 280 336 978 336
PLATFORM 65 640 180 640
PLATFORM 2306 192 2306 520
PLATFORM 1830 1100 1830 500
PLATFORM 3008 900 3008 200
PLATFORM 3586 1170 3586 740
PLATFORM 3232 192 3870 192
PLATFORM 4420 1140 4420 360
PLATFORM 4860 520 4860 200

ENEMY 320 670 600 670
ENEMY 1160 350 1360 350
ENEMY 840 1120 1040 1120
ENEMY 2432 1116 2750 1116
ENEMY 1792 192 1792 1100
ENEMY 1954 1080 1954 392
ENEMY 3460 1180 3540 1180
ENEMY 4399 1160

ENERGY 12 490
ENERGY 12 784
ENERGY 122 1160
ENERGY 400 384
ENERGY 560 1130
ENERGY 670 650
ENERGY 945 520
ENERGY 1200 1100
ENERGY 1334 656
ENERGY 2426 740
ENERGY 2482 80
ENERGY 2814 1088
ENERGY 1560 1095
ENERGY 2160 1000
ENERGY 4100 100
ENERGY 5080 120
ENERGY 3060 1130

ENERGY 576 1152

SECRET 512 1088
SECRET 576 1088
SECRET 448 1152
SECRET 512 1152
SECRET 576 1152
SECRET 640 1152
SECRET 384 1216
SECRET 448 1216
SECRET 512 1216
SECRET 576 1216
SECRET 640 1216
SECRET 704 1216
SECRET 768 1216
SECRET 832 1216
SECRET 896 1216
SECRET 960 1216
SECRET 1024 1216
SECRET 1088 1216
SECRET 1152 1216
SECRET 1216 1216
SECRET 1280 1216
SECRET 1344 1216
SECRET 1280 1024
SECRET 1344 1024
SECRET 1280 1088
SECRET 1344 1088
SECRET 1408 1088
SECRET 1344 1152
SECRET 1408 1152


FOG 1000 1225 1200 1225
FOG 500 1225 900 1225
FOG 1600 1097 1650 1097
FOG 765 836 800 836
FOG 2150 1094 2120 1094
FOG 2460 1094 2600 1094
FOG 3400 1158 3430 1158

VODA 4795 853 4741 853
VODA 4741 850 4795 850

PLOT 4767 829

